ds,ENTRIES_DIFF,EXITS_DIFF,y
2015-07-05,79860.0,59058.0,138918.0
2015-07-06,164715.0,120508.0,285223.0
2015-07-07,166096.0,130927.0,297023.0
2015-07-08,169835.0,137439.0,307274.0
2015-07-09,176879.0,140238.0,317117.0
2015-07-10,167931.0,148076.0,316007.0
2015-07-11,87000.0,79011.0,166011.0
2015-07-12,87467.0,71846.0,159313.0
2015-07-13,163202.0,126437.0,289639.0
2015-07-14,165202.0,131003.0,296205.0
2015-07-15,167697.0,132125.0,299822.0
2015-07-16,168886.0,138485.0,307371.0
2015-07-17,160689.0,139582.0,300271.0
2015-07-18,86579.0,82175.0,168754.0
2015-07-19,82611.0,70957.0,153568.0
2015-07-20,171450.0,126272.0,297722.0
2015-07-21,166395.0,130687.0,297082.0
2015-07-22,160589.0,137013.0,297602.0
2015-07-23,171101.0,141046.0,312147.0
2015-07-24,158502.0,136030.0,294532.0
2015-07-25,86495.0,76157.0,162652.0
2015-07-26,78361.0,62384.0,140745.0
2015-07-27,165265.0,126026.0,291291.0
2015-07-28,169192.0,130883.0,300075.0
2015-07-29,166783.0,133246.0,300029.0
2015-07-30,165680.0,140367.0,306047.0
2015-07-31,160024.0,137558.0,297582.0
2015-08-01,84701.0,75055.0,159756.0
2015-08-02,79345.0,62555.0,141900.0
2015-08-03,161426.0,124495.0,285921.0
2015-08-04,163844.0,133329.0,297173.0
2015-08-05,167744.0,134294.0,302038.0
2015-08-06,167155.0,133501.0,300656.0
2015-08-07,153086.0,133955.0,287041.0
2015-08-08,84135.0,74816.0,158951.0
2015-08-09,81015.0,61783.0,142798.0
2015-08-10,158988.0,121932.0,280920.0
2015-08-11,164537.0,123607.0,288144.0
2015-08-12,163055.0,133079.0,296134.0
2015-08-13,160771.0,130794.0,291565.0
2015-08-14,152459.0,133195.0,285654.0
2015-08-15,84037.0,78936.0,162973.0
2015-08-16,78324.0,61482.0,139806.0
2015-08-17,155430.0,118223.0,273653.0
2015-08-18,167177.0,134180.0,301357.0
2015-08-19,157627.0,125089.0,282716.0
2015-08-20,157369.0,128626.0,285995.0
2015-08-21,147718.0,127340.0,275058.0
2015-08-22,82974.0,74628.0,157602.0
2015-08-23,76547.0,60788.0,137335.0
2015-08-24,150788.0,117943.0,268731.0
2015-08-25,151505.0,119567.0,271072.0
2015-08-26,152098.0,122610.0,274708.0
2015-08-27,153471.0,122320.0,275791.0
2015-08-28,144216.0,127403.0,271619.0
2015-08-29,79402.0,72658.0,152060.0
2015-08-30,73694.0,56758.0,130452.0
2015-08-31,152654.0,117737.0,270391.0
2015-09-01,152993.0,120258.0,273251.0
2015-09-02,136850.0,121817.0,258667.0
2015-09-03,156085.0,130393.0,286478.0
2015-09-04,146568.0,125173.0,271741.0
2015-09-05,78674.0,76809.0,155483.0
2015-09-06,74836.0,65945.0,140781.0
2015-09-07,84533.0,61791.0,146324.0
2015-09-08,165282.0,123462.0,288744.0
2015-09-09,164530.0,131089.0,295619.0
2015-09-10,173125.0,137636.0,310761.0
2015-09-11,163260.0,139224.0,302484.0
2015-09-12,87515.0,79346.0,166861.0
2015-09-13,85639.0,74489.0,160128.0
2015-09-14,147566.0,115272.0,262838.0
2015-09-15,155165.0,121059.0,276224.0
2015-09-16,167814.0,135167.0,302981.0
2015-09-17,170511.0,136299.0,306810.0
2015-09-18,167454.0,139426.0,306880.0
2015-09-19,87972.0,76472.0,164444.0
2015-09-20,75199.0,61898.0,137097.0
2015-09-21,163059.0,126352.0,289411.0
2015-09-22,161855.0,131728.0,293583.0
2015-09-23,146808.0,113774.0,260582.0
2015-09-24,166058.0,127226.0,293284.0
2015-09-25,155157.0,126451.0,281608.0
2015-09-26,93481.0,74957.0,168438.0
2015-09-27,77523.0,64270.0,141793.0
2015-09-28,158087.0,120804.0,278891.0
2015-09-29,164312.0,126411.0,290723.0
2015-09-30,170832.0,129304.0,300136.0
2015-10-01,174365.0,140644.0,315009.0
2015-10-02,171499.0,147154.0,318653.0
